route_name,origin_latitude,origin_longitude,destination_latitude,destination_longitude,distance,driving_time,public_transport,traffic_index
Iskcon to Koramangala,13.0099295,77.5510424,12.937277,77.623006,15.7,28,68,Green
KC General to Silk board,12.996302,77.569264,12.916508,77.621199,13.2,35,60,Green
Phoenix Market city to Sadashivanagar,12.995638,77.696144,13.007321,77.580828,20.1,40,82,Yellow
Jayanagar to Manyata,12.92797,77.582962,13.043513,77.620982,18.5,28,74,Green
World Trade Centre to Kengeri,13.011948,77.556154,12.899967,77.483105,22,45,78,Green
Basaveshwarnagar to Lalbagh,12.988811,77.534904,12.950684,77.585115,8.9,18,38,Green
Chinnaswamy Stadium to Brookfield,12.977755,77.598836,12.959896,77.714679,14.1,22,66,Green
Indiranagar to KSR ,12.976348,77.643445,12.978115,77.569802,11.5,26,35,Green
Oberoi to KIA ,12.973412,77.618163,13.198038,77.707531,35.6,35,138,Yellow
Christ University to Hebbal,13.034926,77.597106,12.936218,77.606129,15.9,29,70,Green
Aachar Residency to IIMB,13.014147,77.577953,12.895733,77.602172,15.7,28,64,Green
KR Marjet to Tambu Chetty Palya,12.965617,77.57692,13.01912,77.703866,16.6,35,66,Green 
Prestige Misty Waters to DYU Art Cafe,13.046336,77.601969,12.937309,77.61757,17.5,37,80,Green
83 1 J Cross to Ranga Shankara ,12.989753,77.534173,12.911522,77.587048,17.4,40,62,Green 
166 1 J Cross to Apollo Hospitals,12.988977,77.53493,12.896032,77.598648,20.7,45,66,Green 
Prestige Falcon to VV Puram Food Street,12.884725,77.56343,12.950902,77.577757,8.8,26,32,Green 
