Bus Stop,Nearest Metro/Tram Stop,Distance (meters)
"Bus Stop (52.420431, 4.8810259)","Metro/Tram Stop (52.2745937, 4.8307936)",1039.276690172637
"Bus Stop (52.420219, 4.8814458)","Metro/Tram Stop (52.2745937, 4.8307936)",1002.8450330815198
"Bus Stop (52.4166172, 4.8828852)","Metro/Tram Stop (52.2745937, 4.8307936)",657.6753821165487
"Bus Stop (52.4165291, 4.8825447)","Metro/Tram Stop (52.2745937, 4.8307936)",671.6540464767818
"Bus Stop (52.4161839, 4.8920308)","Metro/Tram Stop (52.2745937, 4.8307936)",331.0309414575599
"Bus Stop (52.4162683, 4.893282)","Metro/Tram Stop (52.2745937, 4.8307936)",369.20509251467803
"Bus Stop (52.4147289, 4.8811392)","Metro/Tram Stop (52.2745937, 4.8307936)",681.6329838504353
"Bus Stop (52.4299931, 4.8641859)","Metro/Tram Stop (52.2745937, 4.8307936)",1140.7132639226759
"Bus Stop (52.4225328, 4.9527727)","Metro/Tram Stop (52.2745937, 4.8307936)",2520.320355774122
"Bus Stop (52.4225883, 4.9523131)","Metro/Tram Stop (52.2745937, 4.8307936)",2503.549802188338
"Bus Stop (52.4219657, 4.9547115)","Metro/Tram Stop (52.2745937, 4.8307936)",2568.469351945814
"Bus Stop (52.3054856, 4.9464075)","Metro/Tram Stop (52.2745937, 4.8307936)",415.0377070512113
"Bus Stop (52.3078114, 4.9442557)","Metro/Tram Stop (52.2745937, 4.8307936)",520.783236150091
"Bus Stop (52.3044188, 4.9469146)","Metro/Tram Stop (52.2745937, 4.8307936)",442.04167270334585
"Bus Stop (52.3775878, 4.8463385)","Metro/Tram Stop (52.2745937, 4.8307936)",51.5034665124926
"Bus Stop (52.3127497, 4.9499148)","Metro/Tram Stop (52.2745937, 4.8307936)",198.06839976657906
"Bus Stop (52.3621301, 4.8808701)","Metro/Tram Stop (52.2745937, 4.8307936)",208.8959824821077
"Bus Stop (52.3415953, 4.7932054)","Metro/Tram Stop (52.2745937, 4.8307936)",585.3015408018167
"Bus Stop (52.3418043, 4.7932052)","Metro/Tram Stop (52.2745937, 4.8307936)",596.8935543141321
"Bus Stop (52.4201262, 4.8930079)","Metro/Tram Stop (52.2745937, 4.8307936)",773.9722811426414
"Bus Stop (52.4200771, 4.892863)","Metro/Tram Stop (52.2745937, 4.8307936)",766.8083866376272
"Bus Stop (52.4211175, 4.8918905)","Metro/Tram Stop (52.2745937, 4.8307936)",873.3138741956086
"Bus Stop (52.4219883, 4.8911774)","Metro/Tram Stop (52.2745937, 4.8307936)",967.7060465249158
"Bus Stop (52.4245606, 4.8886412)","Metro/Tram Stop (52.2745937, 4.8307936)",1262.928606185513
"Bus Stop (52.4246113, 4.888683)","Metro/Tram Stop (52.2745937, 4.8307936)",1268.191287986678
"Bus Stop (52.354496, 4.9507867)","Metro/Tram Stop (52.2745937, 4.8307936)",80.4674739487836
"Bus Stop (52.3543431, 4.9582997)","Metro/Tram Stop (52.2745937, 4.8307936)",204.5831240006519
"Bus Stop (52.3559759, 4.9541376)","Metro/Tram Stop (52.2745937, 4.8307936)",236.02899865106454
"Bus Stop (52.3552122, 4.9526721)","Metro/Tram Stop (52.2745937, 4.8307936)",120.49916269071439
"Bus Stop (52.3546283, 4.9507583)","Metro/Tram Stop (52.2745937, 4.8307936)",66.0960836432555
"Bus Stop (52.3547493, 4.952165)","Metro/Tram Stop (52.2745937, 4.8307936)",100.39648731532095
"Bus Stop (52.3577153, 4.9442634)","Metro/Tram Stop (52.2745937, 4.8307936)",501.83012567138064
"Bus Stop (52.357613, 4.9446655)","Metro/Tram Stop (52.2745937, 4.8307936)",501.79100636689634
"Bus Stop (52.3589967, 4.9408343)","Metro/Tram Stop (52.2745937, 4.8307936)",304.6767751694366
"Bus Stop (52.3613445, 4.9328607)","Metro/Tram Stop (52.2745937, 4.8307936)",45.696497788586626
"Bus Stop (52.3523594, 4.9477449)","Metro/Tram Stop (52.2745937, 4.8307936)",383.8321887399924
"Bus Stop (52.3487119, 4.9414936)","Metro/Tram Stop (52.2745937, 4.8307936)",138.41161584842837
"Bus Stop (52.3455153, 4.9365555)","Metro/Tram Stop (52.2745937, 4.8307936)",323.9327660408988
"Bus Stop (52.3458716, 4.9318949)","Metro/Tram Stop (52.2745937, 4.8307936)",407.79917976432677
"Bus Stop (52.3463777, 4.9314393)","Metro/Tram Stop (52.2745937, 4.8307936)",395.8884953169991
"Bus Stop (52.3472783, 4.928604)","Metro/Tram Stop (52.2745937, 4.8307936)",532.8295304289692
"Bus Stop (52.3460025, 4.9243303)","Metro/Tram Stop (52.2745937, 4.8307936)",417.6672274508235
"Bus Stop (52.3458631, 4.9246407)","Metro/Tram Stop (52.2745937, 4.8307936)",441.37120816631085
"Bus Stop (52.3656126, 4.8042516)","Metro/Tram Stop (52.2745937, 4.8307936)",469.124169790371
"Bus Stop (52.3659913, 4.8042144)","Metro/Tram Stop (52.2745937, 4.8307936)",487.69999812531086
"Bus Stop (52.3702166, 4.8514928)","Metro/Tram Stop (52.2745937, 4.8307936)",86.1942056747196
"Bus Stop (52.3703961, 4.8500384)","Metro/Tram Stop (52.2745937, 4.8307936)",42.530234127371166
"Bus Stop (52.3701648, 4.8507854)","Metro/Tram Stop (52.2745937, 4.8307936)",38.36217334862709
"Bus Stop (52.3245559, 4.8696069)","Metro/Tram Stop (52.2745937, 4.8307936)",104.09745361151724
"Bus Stop (52.3410802, 4.8279702)","Metro/Tram Stop (52.2745937, 4.8307936)",664.9467820386511
"Bus Stop (52.2992109, 4.9679196)","Metro/Tram Stop (52.2745937, 4.8307936)",553.6071476272365
"Bus Stop (52.2997204, 4.9670529)","Metro/Tram Stop (52.2745937, 4.8307936)",511.9762066810386
"Bus Stop (52.298071, 4.9700319)","Metro/Tram Stop (52.2745937, 4.8307936)",392.31621312357953
"Bus Stop (52.2984185, 4.9708602)","Metro/Tram Stop (52.2745937, 4.8307936)",384.4996815077459
"Bus Stop (52.340706, 4.827531)","Metro/Tram Stop (52.2745937, 4.8307936)",695.0982806212385
"Bus Stop (52.2936787, 4.9525964)","Metro/Tram Stop (52.2745937, 4.8307936)",316.42834427538526
"Bus Stop (52.2870185, 4.9622801)","Metro/Tram Stop (52.2745937, 4.8307936)",721.3213204161254
"Bus Stop (52.2867559, 4.9622703)","Metro/Tram Stop (52.2745937, 4.8307936)",746.265331967424
"Bus Stop (52.2913613, 4.956003)","Metro/Tram Stop (52.2745937, 4.8307936)",149.5322449219052
"Bus Stop (52.2916383, 4.9550854)","Metro/Tram Stop (52.2745937, 4.8307936)",162.16904890828343
