Bus Stop,Nearest Metro/Tram Stop,Distance (meters)
"Bus Stop (13.0099295, 77.5510424)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.996302, 77.569264)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.995638, 77.696144)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.92797, 77.582962)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.011948, 77.556154)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.977755, 77.598836)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.976348, 77.643445)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.973412, 77.618163)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.034926, 77.597106)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.014147, 77.577953)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.965617, 77.57692)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.046336, 77.601969)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.989753, 77.534173)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.988977, 77.53493)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.884725, 77.56343)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.937277, 77.623006)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.916508, 77.621199)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.007321, 77.580828)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.043513, 77.620982)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.899967, 77.483105)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.950684, 77.585115)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.959896, 77.714679)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.978115, 77.569802)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.198038, 77.707531)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.936218, 77.606129)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.895733, 77.602172)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.01912, 77.703866)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.937309, 77.61757)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.911522, 77.587048)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.950902, 77.577757)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.90435911, 77.61255641)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
